#Engineering-Data-Exchange - B.I.G.-EU
PROJECT_NAME
VERSION_OF_REFERENCEFILE
TIMESTAMP_OF_LAST_CHANGE;25.03.2025
AUTHOR_OF_LAST_CHANGE;YABE Yet Another Bacnet Explorer
VERSION_OF_LAYOUT;2.3
#mandatory;mandator;mandatory;mandatory;mandatory;optional;optional;optional;optional;optional;optional;optional;optional;optional;optional;optional
# keyname;device obj.-instance;object-name;object-type;object-instance;description;present-value-default;min-present-value;max-present-value;settable;supports COV;hi-limit;low-limit;state-text-reference;unit-code;vendor-specific-addres
OBJECT_ANALOG_INPUT:79;2128101;115437_3590_001_00_OEA01_MV1;0;79;|A| Energimåler energibrønner Total energi levert til brønner |C| =359.001-OE401;;;;;;;;;19
OBJECT_ANALOG_INPUT:80;2128101;115437_3590_001_00_OEB01_MV1;0;80;|A| Energimåler produsert -IK401 Total energi |C| =359.001-OE501;;;;;;;;;19
OBJECT_ANALOG_INPUT:81;2128101;115437_3590_001_00_OEB01_MV2;0;81;|A| Energimåler produsert -IK401 Avgitt effekt |C| =359.001-OE501;;;;;;;;;48
OBJECT_ANALOG_INPUT:82;2128101;115437_3590_001_00_OEB01_MV3;0;82;|A| Energimåler produsert -IK401 Totalt volum |C| =359.001-OE501;;;;;;;;;80
OBJECT_ANALOG_INPUT:83;2128101;115437_3590_001_00_OEB01_MV5;0;83;|A| Energimåler produsert -IK401 Tur temperatur |C| =359.001-OE501;;;;;;;;;62
OBJECT_ANALOG_INPUT:84;2128101;115437_3590_001_00_OEB01_MV6;0;84;|A| Energimåler produsert -IK401 Retur temperatur |C| =359.001-OE501;;;;;;;;;62
OBJECT_ANALOG_INPUT:85;2128101;115437_3590_001_00_OEB01_MV7;0;85;|A| Energimåler produsert -IK401 Temperaturdifferanse |C| =359.001-OE501;;;;;;;;;62
OBJECT_ANALOG_INPUT:86;2128101;115437_3590_001_00_OEB01_MV4;0;86;|A| Energimåler produsert -IK401 Gjennomstrømning |C| =359.001-OE501;;;;;;;;;135
OBJECT_ANALOG_INPUT:87;2128101;115437_3590_001_00_OEB02_MV1;0;87;|A| Energimåler produsert -IK402 Total energi |C| =359.001-OE502;;;;;;;;;19
OBJECT_ANALOG_INPUT:88;2128101;115437_3590_001_00_OEB02_MV2;0;88;|A| Energimåler produsert -IK402 Avgitt effekt |C| =359.001-OE502;;;;;;;;;48
OBJECT_ANALOG_INPUT:89;2128101;115437_3590_001_00_OEB02_MV3;0;89;|A| Energimåler produsert -IK402 Totalt volum |C| =359.001-OE502;;;;;;;;;80
OBJECT_ANALOG_INPUT:90;2128101;115437_3590_001_00_OEB02_MV5;0;90;|A| Energimåler produsert -IK402 Tur temperatur |C| =359.001-OE502;;;;;;;;;62
OBJECT_ANALOG_INPUT:91;2128101;115437_3590_001_00_OEB02_MV6;0;91;|A| Energimåler produsert -IK402 Retur temperatur |C| =359.001-OE502;;;;;;;;;62
OBJECT_ANALOG_INPUT:92;2128101;115437_3590_001_00_OEB02_MV7;0;92;|A| Energimåler produsert -IK402 Temperaturdifferanse |C| =359.001-OE502;;;;;;;;;62
OBJECT_ANALOG_INPUT:93;2128101;115437_3590_001_00_OEB02_MV4;0;93;|A| Energimåler produsert -IK402 Gjennomstrømning |C| =359.001-OE502;;;;;;;;;135
OBJECT_ANALOG_INPUT:94;2128101;115437_3590_002_00_OEA01_MV8;0;94;|A| Energimåler tørrkjølerkrets Total energi hentet fra uteluft |C| =359.002-OE401;;;;;;;;;19
OBJECT_ANALOG_INPUT:95;2128101;115437_3590_002_00_OEA01_MV2;0;95;|A| Energimåler tørrkjølerkrets Avgitt effekt |C| =359.002-OE401;;;;;;;;;48
